"hour","x","y","twitter","instagram"
3,109,72,0,1
3,113,76,0,1
3,114,52,0,2
3,114,81,0,1
3,116,72,1,0
3,118,67,0,1
3,118,78,0,1
3,118,80,0,1
3,119,79,0,2
3,120,76,1,0
3,120,77,0,1
3,120,79,0,1
3,120,99,0,1
3,121,78,0,1
3,122,78,0,2
3,123,58,1,0
3,124,58,0,1
3,124,65,0,1
3,126,52,0,1
3,127,58,0,1
3,129,60,0,1
3,129,69,0,1
3,130,76,0,1
3,131,72,0,6
3,131,73,0,6
3,132,73,1,3
3,132,74,0,1
3,132,76,1,0
3,132,77,1,0
3,133,53,0,1
3,133,79,0,1
3,133,85,0,1
3,134,56,0,1
3,134,61,0,4
3,134,84,0,1
3,134,87,0,1
3,136,68,0,1
3,136,74,0,2
3,137,66,0,1
3,137,70,0,1
3,138,64,0,1
3,138,66,0,1
3,138,67,0,2
3,138,68,0,1
3,138,69,0,1
3,138,72,0,2
3,138,79,0,43
3,139,65,1,2
3,139,67,0,2
3,140,68,0,1
3,140,78,0,1
3,141,60,0,1
3,141,65,0,1
3,141,68,0,1
3,141,70,0,4
3,142,63,0,2
3,142,69,0,1
3,142,79,0,1
3,142,81,0,1
3,142,99,0,1
3,143,75,0,1
3,143,79,0,5
3,143,80,0,1
3,143,82,0,1
3,145,79,0,1
3,145,80,0,1
3,145,87,0,1
3,145,91,0,1
3,146,64,1,2
3,146,66,0,1
3,146,77,0,1
3,146,78,1,0
3,147,66,1,0
3,147,85,1,2
3,147,94,0,1
3,148,71,0,1
3,148,87,1,0
3,148,93,1,1
3,149,77,0,1
3,150,68,0,1
3,150,78,0,3
3,150,79,0,1
3,150,85,0,1
3,151,76,0,1
3,151,79,0,1
3,151,80,0,1
3,151,91,0,1
3,153,74,0,1
3,154,38,3,0
3,154,89,0,1
3,155,71,0,2
3,156,78,0,1
3,161,73,0,1
3,163,91,0,1
4,99,112,0,1
4,103,109,0,1
4,104,79,0,1
4,107,57,0,1
4,116,72,2,0
4,116,79,0,1
4,117,100,0,1
4,118,66,2,2
4,121,96,0,1
4,122,86,0,1
4,126,58,0,1
4,126,70,0,1
4,129,57,0,1
4,129,78,0,1
4,130,60,0,1
4,131,72,1,0
4,132,73,0,1
4,133,85,0,1
4,135,64,0,1
4,135,82,0,1
4,135,83,0,1
